iter	Logloss
0	0.6704513114
1	0.6446881975
2	0.6233094424
3	0.6021148972
4	0.5832255627
5	0.5650869606
6	0.5479250953
7	0.5316382999
8	0.5147995722
9	0.4995142183
10	0.4870040458
11	0.4732146926
12	0.4619259208
13	0.4513151623
14	0.4415799386
15	0.4319407436
16	0.4228902181
17	0.4153753371
18	0.4075882394
19	0.3997409784
20	0.3922854469
21	0.3853220331
22	0.3805871582
23	0.3746198672
24	0.3685248675
25	0.3625819615
26	0.3574099586
27	0.3527206566
28	0.3480936396
29	0.3441971261
30	0.3401708112
31	0.336632487
32	0.3327279227
33	0.3296428571
34	0.3261776297
35	0.323688151
36	0.3207604399
37	0.3174379185
38	0.3143242246
39	0.3117224702
40	0.3092389207
41	0.3064463879
42	0.3040598261
43	0.301523205
44	0.299381336
45	0.2979349191
46	0.2961569359
47	0.2943199812
48	0.293073963
49	0.2914971633
50	0.2900726609
51	0.2883586775
52	0.2868432908
53	0.2849381801
54	0.2836133394
55	0.2825095622
56	0.2810032145
57	0.2800588553
58	0.2785602679
59	0.2773499116
60	0.2759924898
61	0.274945359
62	0.2740172177
63	063	0.162126564	064	0.1617691185
65	0.1612275623
66	0.1600801886
67	0.1596663121
68	0.1583562506
69	0.1577231852
70	0.1571855382
71	0.1568059285
72	0.156026466
0.2641501581
74	0.2631686837
75	0.2625717018
76	0.2617183722
77	0.260999814
78	0.2600925409
79	0.2592786226
80	0.258753604
81	0.2580095564
82	0.2576191348
83	0.2568533761
84	0.2562031483
85	0.2556824893
86	0.2550359235
87	0.25458002
88	0.2538824463
89	0.2535541062
90	0.2530006627
91	0.2527524821
92	0.2521547735
93	0.2516129848
94	0.2511882673
95	0.250627732
96	0.2502044968
97	0.2498298863
98	0.2494938151
99	0.2491973005
100	0.2488595726
101	0.2484600249
102	0.248095645
103	0.2477115595
104	0.2473844982
105	0.2471501814
106	0.2467610677
107	0.2464345006
108	0.246123541
109	0.2458202544
110	0.2456397356
111	0.2453421747
112	0.2451371257
113	0.2447779192
114	0.2446146938
115	0.2444405111
116	0.2441241164
117	0.2438866025
118	0.2435901315
119	0.2432531448
120	0.2430842372
121	0.2428438168
122	0.2425895182
123	0.2422901263
124	0.2421164958
125	0.2419205148
126	0.241649199
127	0.2414164371
128	0.2411969866
129	0.2410088821
130	0.2407221186
131	0.240502639
132	0.240170695
133	0.2399244327
134	0.2396743048
135	0.2395426287
136	0.2393690854
137	0.239106765
138	0.2388502575
139	0.2386710031
140	0.2385291981
141	0.238368167
142	0.2381506057
143	0.2379254005
144	0.2378179496
145	0.2377100336
146	0.2375883411
147	0.2374348377
148	0.2373145549
149	0.2372441028
150	0.2371688988
151	0.2370102074
152	0.2368367222
153	0.2366894531
154	0.2365438988
155	0.2364364769
156	0.2363036673
157	0.2362034389
158	0.2360673596
159	0.235922372
160	0.2358007231
161	0.2356513904
162	0.2355021885
163	0.2353505307
164	0.2351834833
165	0.2351081485
166	0.2349798584
167	0.2348659842
168	0.2346381342
169	0.2344467454
170	0.2342961193
171	0.2342603411
172	0.234137922
173	0.2339923241
174	0.2339256069
175	0.233794265
176	0.233656965
177	0.2335549345
178	0.2334784372
179	0.2332992408
180	0.2331812541
181	0.2331017485
182	0.2329790678
183	0.2329059419
184	0.2328114537
185	0.232702753
